Label,Group,TGRC,PI_CGN,EA,Organism,Origin,Class,Province_Site,
BGV005912,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,unknown,Yantzaza. Yantzaza; Zamora Chinchipe,...
BGV006148,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"farmland, primitive cultivar, intermediate SP-ceras",El Rosario. Chaguarpamba; Loja,...
BGV006175,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,farmland,San Jacinto. Ayapamba. Atahualpa; El Oro,...
BGV006225,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"kidney tomate, primitive cultivar",Comunidad Shuar Sharup. Gualaquiza; Morona Santiago,...
BGV006229,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"kidney tomate, primitive cultivar",Indanza. Limon Indanza; Morona Santiago,...
BGV006231,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"kidney tomate, primitive cultivar",Sucua. Sucua; Morona Santiago,...
BGV006232,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"kidney tomate, primitive cultivar",Logrono. Mendez; Morona Santiago,...
BGV006234,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"kidney tomate, primitive cultivar",Timbara. Zamora; Zamora Chinchipe,...
BGV006235,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"kidney tomate, primitive cultivar",Indanza. Limon Indanza; Morona Santiago,...
BGV006753,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,backyard,Archidona. Archidona; Napo,...
BGV006767,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,wild,Santa Ines; Napo,...
BGV006768,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,wild,Puerto Napo direccion NE; Napo,...
BGV006777,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"Backyard, growing wild",El Mirador. Puerto Misahualli; Napo,...
BGV006779,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"Backyard, growing wild , SP or ceras?",Las Colinas. Puerto Napo; Napo,...
BGV006792,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"Backyard, growing wild",Costa Azul. Tena; Napo,...
BGV006806,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"Backyard, growing wild",Nueva Esperanza. Arosamena Tola; Napo,...
BGV006828,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"farmland, leaves like SP, fruit like ceras",Recinto San Vicente; Pastaza,...
BGV006852,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"farmland, growing wild","Simon Bolivar, a 3 Km direccion N; Pastaza",...
BGV006859,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"farmland, growing wild",Tashapi; Pastaza,...
BGV006865,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"farmland, growing wild",Pitirishca; Pastaza,...
BGV006867,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,farmland,Kunkuki; Pastaza,...
BGV006881,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, primitive cultivar",Macas; Morona Santiago,...
BGV006896,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, primitive cultivar",Sucua; Morona Santiago,...
BGV006899,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, primitive cultivar",Huambi; Morona Santiago,...
BGV006901,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, primitive cultivar",Huambi; Morona Santiago,...
BGV006904,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, primitive cultivar, selfconsumption, sometimes sold",Logrono; Morona Santiago,...
BGV006906,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, primitive cultivar",Yurupaza; Morona Santiago,...
BGV006907,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, primitive cultivar",Yurupaza; Morona Santiago,...
BGV006910,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, primitive cultivar",Chinganaza Nuevo; Morona Santiago,...
BGV006927,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, weed",Pachicutza; Zamora Chinchipe,...
BGV006931,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,orchard close to Health Center,Pachicutza; Zamora Chinchipe,...
BGV006934,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, primitive cultivar",Simon Bolivar. Yantzaza; Zamora Chinchipe,...
BGV007015,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"farmland, primitive cultivar","La Cienaga; Banos de Agua Santa, a 5 Km direccion E; Tungurahua",...
BGV007017,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,"backyard, primitive cultivar",Rio Verde; Tungurahua,...
BGV007023,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,unknown,Arapicos; Morona Santiago,...
BGV007992,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Peru,ceras similar to SP,Chilcachaca; Cuzco,...
BGV008058,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"From wild plants in Becan ruins, Campeche, Mexico.",Becal Ruins; Campeche,...
BGV012625,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Peru,unknown,Quillabamba; Cuzco,...
BGV012639,SLC ECU,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,unknown,Puna; Guayas,...
PI129026,SLC ECU,NA,PI129033,NA,S. lycopersicum var cerasiforme,Ecuador,"SLL en ARS GRIN. Fruit medium, flat, rough, very deep scarlet. From the market at Guayaquil, (1938)",Market Guayaquil,...
PI129033,SLC ECU,NA,PI129088,NA,S. lycopersicum var cerasiforme,Ecuador,"SLL en ARS GRIN. Fruit small, very rough, flat, many celled. From the market at Guayaquil (1938)",Market Guayaquil,...
BGV005895,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Ecuador,unknown,Timbara. Zamora; Zamora Chinchipe,...
BGV007894,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"Huanchinango market, primitive cultivar",Huauchinango; Puebla,...
BGV007899,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"Huanchinango market,kidney tomato",Huauchinango; Puebla,...
BGV007901,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"wild, spontaneous,Cuatomate ot tomato of ""milpa""",Coahuila; Huanchinango; Puebla,...
BGV007902,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"wild, spontaneous,Cuatomate ot tomato of ""milpa""",mercado; Huanchinango; Puebla,...
BGV007908,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"wild, wild, Tomato small, yellow fruit, 1,5 - 2 cm",Tehuetlan; San Luis de Potosi,...
BGV007909,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"wildTomato, 1,5 - 2 cm",Huejutla; Hidalgo,...
BGV007910,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"wild ""Coyolito"", 1,5 - 2 cm",Palo de Arco; Ciudad Valles; San Luis de Potosi,...
BGV007911,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"wild, ""Coyolito"", 1,5 - 2 cm",Cuesta de los monos; Tamazunchate; San Luis Potosi,...
BGV007918,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"wild, wild, >1 cm, espontaneous, to make sauce",Rioverdito; Queretaro,...
BGV007920,SLC MEX,NA,NA,NA,S. lycopersicum var cerasiforme,Mexico,"backyard, wild, Coyol, > 1 cm",El Balcon. Xilitla; San Luis Potosi,...
