Label,Group,TGRC,PI_CGN,EA,Organism,Origin,Class,Province_Site,
BGV007854,SLL major,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"farmland, primitive cultivar ""Manzano""",Santa Elena. Telchac Puerto; Yucatan,...
BGV007857,SLL major,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"farmland, primitive cultivar",Xcanatun; Yucatan,...
BGV007860,SLL MEX,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"Dizidzautum market, primitive cultivar ""Zocato""",Hacienda Tchoilen; Dzidzantun; Yucatan,...
BGV007862,SLL major,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"farmland, primitive cultivar",San Eduardo; Yucatan,...
BGV007863,SLL major,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"farmland, primitive cultivar",San Eduardo; Yucatan,...
BGV007864,SLL MEX,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"farmland, primitive cultivar ""Zocato""",San Eduardo; Yucatan,...
BGV007865,SLL major,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"farmland, primitive cultivar",San Eduardo; Yucatan,...
BGV007867,SLL MEX,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"Uman market, primitive cultivar",Mercado; Uman; Yucatan,...
BGV007870,SLL MEX,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"Muna market, primitive cultivar ""Zocato""",Mercado; Muna; Yucatan,...
BGV007871,SLL MEX,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"Muna market, primitive cultivar ""Manzano""",Mercado; Muna; Yucatan,...
BGV007872,SLL MEX,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"Oxcutcaz market, primitive cultivar ""Zocato""",Mercado; Oxkutzcab; Yucatan,...
BGV007875,SLL major,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"farmland,primitive cultivar, ""Manzano""",Deaboku; Yucatan,...
BGV007876,SLL major,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"Valladolid market, Indian tomato",Mercado; Valladolid; Yucatan,...
BGV007878,SLL major,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"Dizilbache market, type ""Manzano""",Mercado; Dzibalche; Yucatan,...
BGV007895,SLL major,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"Xicotepec market, kidney tomato",Xicotepec; Puebla,...
BGV007936,SLL MEX,NA,NA,NA,S. lycopersicum var lycopersicum,Mexico,"Local tomato ""Manzano"" type",Tekax. Merida; Yucatan,...
BGV008224,SLL MEX,NA,NA,NA,S. lycopersicum var lycopersicum,Nicaragua,"Flat red fruit to 2. 5 cm in diameter. (1976). Collected along El Barco River, Boaco","Rio El Barco; , a 47 Km direccion Rama; Boaco",...
LA0767,SLL MEX,LA0767,NA,NA,S. lycopersicum var lycopersicum,unknown,unknown,unknown,...
Tegucigalpa,SLL major,NA,NA,NA,S. lycopersicum var lycopersicum,unknown,Tegucigalpa,unknown,...
Voyage,SLL MEX,NA,NA,NA,S. lycopersicum var lycopersicum,unknown,Voyage,unknown,...
