Label,Group,TGRC,PI_CGN,EA,Organism,Origin,Class,Province_Site,
BGV006208,SP S ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,"wild, close to a balsa",Chaguarpamba. Santa Isabel; Azuay,...
BGV006327,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,wild,"Tambo Grande. Piura, a 2 Km direccion NW; Piura",...
BGV006336,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,"wild, near border of a dry river","Buenos Aires. Morropon, a 7 Km direccion SE; Piura",...
BGV006347,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,"wild, sandy soil","Piura. Piura, a 67 Km direccion Olmos; Piura",...
BGV006353,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,"wild, sandy soil",Lambayeque,...
BGV006363,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,"wild, sandy soil, abundant vegetation","Olmos. Lambayeque, a 4 Km direccion Jaen; Lambayeque",...
BGV006370,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,"wild, roadside, close to rice plants",Mallares. Sullana; Piura,...
BGV006454,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,"wild, dry soil","Piura, a 42,3 Km direccion Chulucanas; Piura",...
BGV006457,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,"wild, sandy soil, abundant vegetation","Vicus. Morropon, a 7 Km direccion Lambayeque; Piura",...
BGV006478,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,"wild, in a cut road","Olmos. Lambayeque, a 7 Km direccion Lambayeque; Lambayeque",...
BGV006775,SP N ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,wild in a black pepper filed. Used to graft,El Mirador. Puerto Misahualli; Napo,...
BGV007109,SP N ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,"wild, with weeds, very wet environment, serrated leaves",Pampa. Tacusa. Esmeraldas; Esmeraldas,...
BGV007111,SP N ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,"wild, close to the coast line",Camarones. Esmeraldas; Esmeraldas,...
BGV007149,SP N ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,"wild, road side, with vegetation","El Carmen, a 11,5 Km direccion Pedernales; Manabi",...
BGV007151,SP S ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,"wild, close to a pond",Chilagualan. El Carmen; Manabi,...
BGV007152,SP N ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,"backyard, weed","Puerto Nuevo. El Carmen, a 9,2 Km direccion Pedernales; Manabi",...
BGV007158,SP N ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,"wild, road side",Entrada Chibunga. Chone; Manabi,...
BGV007161,SP N ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,"roadside, very wet puddy soil, abundant vegetation","Puesto de policia; El Achote. Pedernales, a 1,8 Km direccion Pedernales; Manabi",...
BGV007169,SP N ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,"wild, mountainous land","El Humedal. Pedernales, a 14,5 Km direccion Pedernales; Manabi",...
BGV007181,SP N ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,fallow land with abundan vegetation,Pedernales; Manabi,...
BGV007194,SP N ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,"wild, 100 m from shore, abundant vegetation",Entrada a Punta Prieta. Jama; Manabi,...
BGV007198,admixed,NA,NA,NA,S. pimpinellifolium,Ecuador,"farmland, close to weeds",Tambuche. Jama; Manabi,...
BGV007339,SP S ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,unknown,"Juana de Oro. Pasaje, a 1,6 Km direccion Pasaje; El Oro",...
BGV007366,SP S ECU,NA,NA,NA,S. pimpinellifolium,Ecuador,unknown,"1,7 km antes de llegar a Uzhcurrumi; Uzhcurrumi; El Oro",...
BGV015380,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,fallow land,San Agustin. Bellavista. Jaen; Cajamarca,...
BGV015382,SP PER,NA,NA,NA,S. pimpinellifolium,Peru,wild,"Magunchal. Jamalca. Utcubamba, a 1 Km direccion W; Amazonas",...
